Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Product rating count (product.metafields.reviews.rating_count),Bookmark shape (product.metafields.shopify.bookmark-shape),Calendar format (product.metafields.shopify.calendar-format),Celebration type (product.metafields.shopify.celebration-type),Color (product.metafields.shopify.color-pattern),Frame style (product.metafields.shopify.frame-style),Item style (product.metafields.shopify.item-style),Material (product.metafields.shopify.material),Paper type (product.metafields.shopify.paper-type),Personalization design (product.metafields.shopify.personalization-design),Shape (product.metafields.shopify.shape),Theme (product.metafields.shopify.theme),EasifyBoxBuilderUrl (product.metafields._easifyboxbuilder.url),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
the-ultimate-journaling-kit-✨,The Ultimate Journaling Kit ✨,"<h3 data-start=""993"" data-end=""1037"">Your creative safe space, in one box 🧠✨</h3>
<p data-start=""1039"" data-end=""1214"">Whether you’re new to journaling or already obsessed with stationery, this <strong data-start=""1114"" data-end=""1143"">All-in-One Journaling Kit</strong> is designed to help you slow down, reflect, and create with intention.</p>
<p data-start=""1216"" data-end=""1339"">From mindful writing to aesthetic spreads, this kit has everything you need to turn your thoughts into something beautiful.</p>
<h3 data-start=""1341"" data-end=""1359"">What’s inside:</h3>
<ul data-start=""1360"" data-end=""1785"">
<li data-start=""1360"" data-end=""1440"">
<p data-start=""1362"" data-end=""1440"">📓 <strong data-start=""1365"" data-end=""1391"">1 Dotted Journal Diary</strong> – perfect for bullet journaling &amp; free writing</p>
</li>
<li data-start=""1441"" data-end=""1519"">
<p data-start=""1443"" data-end=""1519"">🗂 <strong data-start=""1446"" data-end=""1485"">3 Storage Pockets (Different Sizes)</strong> – for photos, notes &amp; keepsakes</p>
</li>
<li data-start=""1520"" data-end=""1591"">
<p data-start=""1522"" data-end=""1591"">🎴 <strong data-start=""1525"" data-end=""1545"">Prompt Cards Box</strong> – daily reflection &amp; self-discovery prompts</p>
</li>
<li data-start=""1592"" data-end=""1652"">
<p data-start=""1594"" data-end=""1652"">🌸 <strong data-start=""1597"" data-end=""1615"">Sticker Sheets</strong> – for decorating and mood tracking</p>
</li>
<li data-start=""1653"" data-end=""1718"">
<p data-start=""1655"" data-end=""1718"">🎨 <strong data-start=""1658"" data-end=""1679"">Background Sheets</strong> – aesthetic base for journal spreads</p>
</li>
<li data-start=""1719"" data-end=""1785"">
<p data-start=""1721"" data-end=""1785"">🎀 <strong data-start=""1724"" data-end=""1738"">Washi Tape</strong> – for borders, highlights &amp; creative layouts</p>
</li>
</ul>
<h3 data-start=""1787"" data-end=""1810"">Why you’ll love it:</h3>
<ul data-start=""1811"" data-end=""2014"">
<li data-start=""1811"" data-end=""1848"">
<p data-start=""1813"" data-end=""1848"">All essentials in one curated kit</p>
</li>
<li data-start=""1849"" data-end=""1894"">
<p data-start=""1851"" data-end=""1894"">Perfect for beginners &amp; stationery lovers</p>
</li>
<li data-start=""1895"" data-end=""1934"">
<p data-start=""1897"" data-end=""1934"">Encourages mindfulness &amp; creativity</p>
</li>
<li data-start=""1935"" data-end=""1978"">
<p data-start=""1937"" data-end=""1978"">Makes journaling easy, fun &amp; consistent</p>
</li>
<li data-start=""1979"" data-end=""2014"">
<p data-start=""1981"" data-end=""2014"">Ideal gift for self-care lovers</p>
</li>
</ul>
<h3 data-start=""2016"" data-end=""2032"">Perfect for:</h3>
<p data-start=""2033"" data-end=""2146"">Daily journaling, mental wellness, creative planning, gratitude practice, vision boards, or as a thoughtful gift.</p>
<p data-start=""2148"" data-end=""2222"">Because sometimes all you need is<br data-start=""2181"" data-end=""2184""><strong data-start=""2184"" data-end=""2222"">a pen, a page, and a little quiet.</strong></p>",Pandaholic DIY,Office Supplies > General Office Supplies > Paper Products > Notebooks & Notepads > Journals,"","",true,Title,Default Title,,,,,,,,,0.0,shopify,999,deny,manual,599.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0963/6790/2793/files/IMG_4327.JPG_1.png?v=1769698032,1,"",false,,,,,,,dots; floral; multicolor,,,,dot,,,,,,kg,,,active
the-ultimate-journaling-kit-✨,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0963/6790/2793/files/IMG_4341_JPG.jpg?v=1769697185,2,"",,,,,,,,,,,,,,,,,,,,,
the-ultimate-journaling-kit-✨,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0963/6790/2793/files/IMG_4325.JPG_1.png?v=1769698030,3,"",,,,,,,,,,,,,,,,,,,,,
the-ultimate-journaling-kit-✨,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0963/6790/2793/files/IMG_4329.JPG_1.png?v=1769698029,4,"",,,,,,,,,,,,,,,,,,,,,
the-ultimate-journaling-kit-✨,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0963/6790/2793/files/IMG_4334.JPG_1.png?v=1769698032,5,"",,,,,,,,,,,,,,,,,,,,,
the-ultimate-journaling-kit-✨,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0963/6790/2793/files/IMG_4335.JPG_1.png?v=1769698027,6,"",,,,,,,,,,,,,,,,,,,,,
our-song-personalized-spotify-love-card,Our Song – Personalized Spotify Love Card,"<h3 data-start=""1075"" data-end=""1133"">Your love has a soundtrack. Now it has a card too 🎶❤️</h3>
<p data-start=""1135"" data-end=""1349"">Turn your favorite memory into a keepsake with our <strong data-start=""1186"" data-end=""1220"">Personalized Spotify Love Card</strong>. One side features your favorite photo together, and the other displays a <strong data-start=""1295"" data-end=""1318"">custom Spotify code</strong> linked to <em data-start=""1329"" data-end=""1348"">your special song</em>.</p>
<p data-start=""1351"" data-end=""1406"">Just scan the code, and your love story starts playing.</p>
<p data-start=""1408"" data-end=""1532"">Whether it’s the song from your first date, proposal, or “our song”, this card captures emotions in the most meaningful way.</p>
<h3 data-start=""1534"" data-end=""1560"">What makes it special:</h3>
<ul data-start=""1561"" data-end=""1740"">
<li data-start=""1561"" data-end=""1595"">
<p data-start=""1563"" data-end=""1595"">📸 <strong data-start=""1566"" data-end=""1595"">Personalized couple photo</strong></p>
</li>
<li data-start=""1596"" data-end=""1634"">
<p data-start=""1598"" data-end=""1634"">🎵 <strong data-start=""1601"" data-end=""1634"">Custom Spotify scannable code</strong></p>
</li>
<li data-start=""1635"" data-end=""1671"">
<p data-start=""1637"" data-end=""1671"">💌 Premium Valentine greeting card</p>
</li>
<li data-start=""1672"" data-end=""1705"">
<p data-start=""1674"" data-end=""1705"">✍️ Optional message on the back</p>
</li>
<li data-start=""1706"" data-end=""1740"">
<p data-start=""1708"" data-end=""1740"">🎁 A memory they’ll keep forever</p>
</li>
</ul>
<h3 data-start=""1742"" data-end=""1758"">Perfect for:</h3>
<p data-start=""1759"" data-end=""1849"">Valentine’s Day, anniversaries, long-distance relationships, proposals, or surprise gifts.</p>
<p data-start=""1851"" data-end=""1913"">Because some songs aren’t just songs —<br data-start=""1889"" data-end=""1892""><strong data-start=""1892"" data-end=""1913"">they’re memories.</strong></p>",Pandaholic DIY,Arts & Entertainment > Party & Celebration > Gift Giving > Greeting & Note Cards > Greeting Cards,"","",true,Title,Default Title,,,,,,,,,0.0,shopify,999,deny,manual,79.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0963/6790/2793/files/ChatGPT_Image_Jan_28_2026_11_52_51_PM.png?v=1769624604,1,"",false,,,,,,valentines-day,,,modern; elegant,,,customizable,,,,,kg,,,active
our-song-personalized-spotify-love-card,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0963/6790/2793/files/ChatGPTImageJan28_2026_11_21_34PMcopy2.png?v=1769624604,2,"",,,,,,,,,,,,,,,,,,,,,
our-song-personalized-spotify-love-card,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0963/6790/2793/files/ChatGPT_Image_Jan_28_2026_11_21_34_PM_copy_1.png?v=1769624604,3,"",,,,,,,,,,,,,,,,,,,,,
blooming-love-3d-pop-up-flower-bouquet-card,Blooming Love – 3D Pop-Up Flower Bouquet Card,"<p><meta charset=""utf-8"">A beautiful <strong data-start=""842"" data-end=""884"">3D pop-up flower bouquet greeting card</strong> that transforms into a stunning floral surprise when opened. The perfect keepsake for Valentine’s Day, anniversaries, or just to say <em data-start=""1018"" data-end=""1030"">I love you</em>.<br><br><meta charset=""utf-8""></p>
<p data-start=""1079"" data-end=""1108""><strong data-start=""1079"" data-end=""1108"">Make their heart bloom 💐</strong></p>
<p data-start=""1110"" data-end=""1353"">This isn’t just a greeting card — it’s a <strong data-start=""1151"" data-end=""1180"">magical 3D flower bouquet</strong> that pops up the moment they open it. Thoughtfully designed to create a <em data-start=""1253"" data-end=""1258"">wow</em> moment, this card turns into a beautiful keepsake they’ll treasure long after Valentine’s Day.</p>
<p data-start=""1355"" data-end=""1409"">Perfect for when you want to say more than just words.</p>
<h4 data-start=""1411"" data-end=""1436"">Why they’ll love it:</h4>
<ul data-start=""1437"" data-end=""1677"">
<li data-start=""1437"" data-end=""1486"">
<p data-start=""1439"" data-end=""1486"">🌸 <strong data-start=""1442"" data-end=""1470"">3D pop-up flower bouquet</strong> in the center</p>
</li>
<li data-start=""1487"" data-end=""1529"">
<p data-start=""1489"" data-end=""1529"">💌 Elegant greeting card + gift in one</p>
</li>
<li data-start=""1530"" data-end=""1579"">
<p data-start=""1532"" data-end=""1579"">🎁 No wilting, no maintenance — lasts forever</p>
</li>
<li data-start=""1580"" data-end=""1623"">
<p data-start=""1582"" data-end=""1623"">✍️ Space to write your personal message</p>
</li>
<li data-start=""1624"" data-end=""1677"">
<p data-start=""1626"" data-end=""1677"">📸 Perfect for gifting &amp; Instagram-worthy moments</p>
</li>
</ul>
<h4 data-start=""1679"" data-end=""1696"">Perfect for:</h4>
<p data-start=""1697"" data-end=""1787"">Valentine’s Day, anniversaries, proposals, birthdays, or just to surprise someone special.</p>
<p data-start=""1789"" data-end=""1833"">Because flowers fade — <strong data-start=""1812"" data-end=""1833"">this one doesn’t.</strong></p>",Pandaholic DIY,Arts & Entertainment > Party & Celebration > Gift Giving > Greeting & Note Cards > Greeting Cards,"","",true,Title,Default Title,,,,,,,,,0.0,shopify,982,deny,manual,159.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0963/6790/2793/files/ChatGPTImageJan28_2026_11_56_17PM.png?v=1769624796,1,"",false,,,,,,,,,,,,,,,,,kg,,,active
